paragraph_id,question_id,prediction
1361,6463,0.00015369101311080158
1403,34696,0.4687376618385315
1435,13751,0.0019527337281033397
341,38544,0.9997542500495911
1317,14589,0.8679749369621277
412,26912,0.008757272735238075
1282,18076,0.9997218251228333
689,19755,0.0003903611795976758
1455,36313,0.97603839635849
432,12545,0.12992899119853973
509,537,0.042137641459703445
420,33542,0.08584455400705338
1055,35277,0.0002000424574362114
942,14974,0.0018155056750401855
78,39272,0.00024066191690508276
1260,35209,0.9995095729827881
615,4767,0.47882571816444397
1597,2581,0.0015647433465346694
136,10227,0.0006081390893086791
1460,41217,0.030776549130678177
1097,21336,0.9861865043640137
125,42701,0.004428958520293236
1227,19799,0.04134003072977066
661,6335,0.904337465763092
985,39900,0.9446238279342651
1081,835,0.030001044273376465
195,26152,0.061255138367414474
1449,24396,0.9999620914459229
717,41848,0.2730172574520111
1023,15350,0.017039567232131958
792,23245,0.9928116202354431
594,18936,0.11890771239995956
1168,14974,0.0011180940782651305
190,6238,0.99430251121521
1145,6887,0.0023661612067371607
940,7322,0.0018486222252249718
807,9173,0.8321417570114136
1106,4426,0.998795747756958
425,11053,5.950009654043242e-05
945,9922,0.3830493092536926
561,33364,0.98014897108078
594,2217,0.08271901309490204
828,18570,0.9994707703590393
420,20832,0.672096848487854
162,26407,0.9996135830879211
177,42172,0.9939311742782593
1225,34376,0.0031281388364732265
1028,25737,0.46453744173049927
641,32197,0.007520921528339386
1518,18478,1.5432762666023336e-05
1301,38838,0.045831240713596344
1553,29391,0.005470153875648975
1431,6069,0.009725931100547314
288,26682,0.8814477920532227
556,27297,0.3475479185581207
127,27543,0.9883757829666138
1044,21111,0.004500000737607479
1397,6617,0.00022510964481625706
823,2312,0.00774659588932991
320,38070,0.8717867732048035
157,23343,0.0026364168152213097
427,19658,0.0007819482125341892
925,19032,0.24960529804229736
1370,31428,0.3685849905014038
87,23879,0.035319164395332336
1538,37148,0.24843168258666992
1558,2668,0.9941298961639404
752,2518,0.00047345092752948403
432,6677,0.11091487109661102
1403,28809,0.0005629936931654811
1235,7778,3.657220077002421e-05
997,26999,0.8597495555877686
1365,3116,0.9979230761528015
606,33513,0.0006104177446104586
1390,31715,0.8030140399932861
1531,13955,7.205366273410618e-06
1237,2861,0.00012252073793206364
705,34215,0.9574311971664429
639,30032,0.5514100790023804
344,25818,0.003963459748774767
6,8419,0.0006367939058691263
1436,9410,0.9445335268974304
268,25286,0.04413853585720062
549,30239,0.27197954058647156
1497,33972,0.9051947593688965
48,27688,0.9987764954566956
1219,40033,0.634964644908905
60,25596,0.9959673881530762
1212,13429,0.005184066016227007
867,26412,0.17915725708007812
387,34796,0.9875624179840088
1070,28664,0.009080694057047367
203,40296,0.022045383229851723
313,30172,0.9914959669113159
1498,10071,0.0001669170887907967
267,12209,0.009650144726037979
39,28211,0.7638918161392212
369,29612,0.04981052502989769
87,8781,0.9837734699249268
45,32140,0.004323768429458141
837,33197,0.9899116158485413
1391,21920,0.004775317385792732
146,12159,0.6564821004867554
14,6081,0.0175694078207016
1070,31507,0.002313684904947877
254,28809,0.001087239827029407
1431,36752,3.39542530127801e-05
516,24134,0.9761303067207336
1469,29286,0.9997218251228333
1102,31758,0.03675452247262001
355,2511,8.365216490346938e-05
326,31333,0.9706243276596069
366,34424,0.09604837745428085
709,31688,0.9986961483955383
386,1104,0.12600165605545044
334,7665,0.06017505005002022
1488,40250,0.008506483398377895
386,28262,0.00024736562045291066
591,28739,0.06239169090986252
1179,1,0.9991419315338135
1148,16124,0.8927627801895142
639,36076,0.08658996969461441
1149,18878,0.05380529165267944
1414,43340,0.9358726143836975
1466,36528,0.983688473701477
1071,10505,0.0366443507373333
563,19954,0.9926373958587646
45,39381,0.0002943685685750097
182,28455,0.013562634587287903
606,24266,0.0027472092770040035
1106,16118,0.06388775259256363
1607,25528,0.9981400966644287
1099,22961,0.05957654491066933
407,7112,0.9614127278327942
1125,4183,4.408775112096919e-06
501,14435,0.37469878792762756
1585,3121,0.029174035415053368
311,28158,0.9677444100379944
1584,41260,0.007095447275787592
471,23016,0.025881072506308556
47,12993,0.9308304786682129
1494,23412,0.9866320490837097
1061,23273,0.9510861039161682
1125,12655,0.00013024687359575182
643,32126,0.00012542132753878832
582,9802,0.0022746939212083817
1219,23445,0.4567684829235077
357,22290,0.8166866302490234
441,39239,0.9869624972343445
317,13457,0.989144504070282
427,6684,0.00016036957094911486
195,16118,0.0024562529288232327
1535,35616,0.31283482909202576
281,9910,0.9859073162078857
1454,796,0.999823272228241
1039,28124,0.1187446191906929
1622,43170,0.956706166267395
254,2941,0.9998348951339722
691,40084,0.7332223653793335
663,19049,0.581571638584137
1200,25720,0.0057029807940125465
839,23165,0.013384422287344933
374,26148,0.9998584985733032
563,7915,0.9999532699584961
211,778,0.9997853636741638
1032,16364,0.9576956033706665
283,25046,0.9745094180107117
678,38510,0.9951595664024353
446,17035,0.019640188664197922
345,6026,0.191014364361763
292,17126,1.986257302633021e-05
1315,42101,0.0022453502751886845
1279,2988,0.33270254731178284
1200,12192,0.9896520972251892
1346,27726,0.9735122323036194
420,4536,0.014988036826252937
995,28347,0.5014108419418335
1123,13053,0.9996808767318726
258,30076,0.9970561265945435
185,14567,0.9999514818191528
1227,34090,0.00011708436068147421
1501,19061,0.00014863382966723293
248,13390,0.9964236617088318
1249,12592,0.01534335408359766
1572,28102,0.9252542853355408
1006,9510,0.913061261177063
635,23963,0.00028692957130260766
224,2667,0.17198258638381958
596,3840,0.8919411301612854
55,26035,0.9747970104217529
165,1845,0.33236369490623474
219,6956,0.6153146624565125
31,39016,0.0001965968549484387
285,3306,0.0006737174699082971
830,27068,0.07272926717996597
1451,36649,0.04468825086951256
279,2212,0.993366539478302
272,30891,0.001265937928110361
1230,37777,0.9062486290931702
1370,39184,0.9875734448432922
1144,40819,0.5496472716331482
723,14154,0.06778869777917862
165,19592,0.005678377114236355
1100,3280,0.7881051898002625
1531,7483,0.00010558772191870958
26,31752,0.0007138538057915866
906,32483,0.045229241251945496
438,10227,8.768301995587535e-06
1243,25633,0.027977867051959038
91,42109,0.979756772518158
955,12599,0.9377180337905884
1363,39087,0.0075057027861475945
223,16467,0.015238993801176548
1052,343,0.016133394092321396
507,8229,0.14020228385925293
1587,38171,0.9978908896446228
671,7437,0.9997443556785583
1438,29518,0.998139500617981
523,15680,6.630830466747284e-05
1545,38845,0.504729688167572
55,28961,0.4052552580833435
