paragraph_id,question_id,prediction
1361,6463,8.74239340191707e-05
1403,34696,0.2040998786687851
1435,13751,0.00038487996789626777
341,38544,0.9993686079978943
1317,14589,0.0473201610147953
412,26912,0.04536718130111694
1282,18076,0.9982907176017761
689,19755,0.0009364175493828952
1455,36313,0.914203405380249
432,12545,0.04784630239009857
509,537,0.012564457952976227
420,33542,0.009647602215409279
1055,35277,0.0004146019637119025
942,14974,0.0005742947105318308
78,39272,0.0019359933212399483
1260,35209,0.9984027743339539
615,4767,0.014881603419780731
1597,2581,0.0015286840498447418
136,10227,0.0009428476914763451
1460,41217,0.2189132273197174
1097,21336,0.9948658347129822
125,42701,0.007042639423161745
1227,19799,0.08978480100631714
661,6335,0.9635080099105835
985,39900,0.9947096109390259
1081,835,0.38766855001449585
195,26152,0.023055382072925568
1449,24396,0.9998167157173157
717,41848,0.13760864734649658
1023,15350,0.003135110018774867
792,23245,0.9882177710533142
594,18936,0.11354010552167892
1168,14974,0.0012916087871417403
190,6238,0.9896302819252014
1145,6887,0.0004260693385731429
940,7322,0.0013169464655220509
807,9173,0.8585114479064941
1106,4426,0.9986487030982971
425,11053,0.000286077061900869
945,9922,0.05106433108448982
561,33364,0.9710018038749695
594,2217,0.034015074372291565
828,18570,0.9973872303962708
420,20832,0.24341346323490143
162,26407,0.9955211877822876
177,42172,0.996816098690033
1225,34376,0.0023272486869245768
1028,25737,0.40575098991394043
641,32197,0.007187201175838709
1518,18478,0.00017257584840990603
1301,38838,0.017695216462016106
1553,29391,0.009789001196622849
1431,6069,0.01991453394293785
288,26682,0.9363365173339844
556,27297,0.12560872733592987
127,27543,0.9687448740005493
1044,21111,0.012980828993022442
1397,6617,0.0005342483636923134
823,2312,0.02119091898202896
320,38070,0.4519570767879486
157,23343,0.4342287480831146
427,19658,0.0032236899714916945
925,19032,0.41035282611846924
1370,31428,0.4510936439037323
87,23879,0.0068036895245313644
1538,37148,0.41471558809280396
1558,2668,0.9978546500205994
752,2518,0.0026454157195985317
432,6677,0.21740399301052094
1403,28809,0.0004849650722462684
1235,7778,0.0001153622506535612
997,26999,0.9628131985664368
1365,3116,0.8490036129951477
606,33513,0.00026713748229667544
1390,31715,0.9912301301956177
1531,13955,7.857084710849449e-05
1237,2861,0.0011734315194189548
705,34215,0.5931810140609741
639,30032,0.1691163033246994
344,25818,0.0035141839180141687
6,8419,0.021779226139187813
1436,9410,0.8805403113365173
268,25286,0.02544642984867096
549,30239,0.5278751254081726
1497,33972,0.8831182718276978
48,27688,0.9977557063102722
1219,40033,0.597116231918335
60,25596,0.9727870225906372
1212,13429,0.004326992202550173
867,26412,0.10643645375967026
387,34796,0.6989464163780212
1070,28664,0.01520529855042696
203,40296,0.041557759046554565
313,30172,0.9799603819847107
1498,10071,0.0006757926312275231
267,12209,0.019077565521001816
39,28211,0.018237898126244545
