,paragraph_id,question_id,prediction
0,1361,6463,0.0
1,1403,34696,0.0
2,1435,13751,0.0
3,341,38544,1.0
4,1317,14589,0.0
5,412,26912,0.7235182523727417
6,1282,18076,0.0
7,689,19755,0.0
8,1455,36313,0.0
9,432,12545,0.09565911442041396
10,509,537,0.005976266227662563
11,420,33542,0.006683382671326399
12,1055,35277,0.0
13,942,14974,0.0
14,78,39272,0.00039280849159695213
15,1260,35209,0.9992828965187072
16,615,4767,0.6560236215591431
17,1597,2581,0.0
18,136,10227,0.0
19,1460,41217,0.002631931798532605
20,1097,21336,1.0
21,125,42701,0.0
22,1227,19799,0.029906207695603367
23,661,6335,1.0
24,985,39900,1.0
25,1081,835,1.0
26,195,26152,0.002519001718610525
27,1449,24396,1.0
28,717,41848,0.060816772282123566
29,1023,15350,0.0
30,792,23245,1.0
31,594,18936,0.1205396130681038
32,1168,14974,0.0
33,190,6238,1.0
34,1145,6887,0.0
35,940,7322,0.00018490881484467536
36,807,9173,0.3164227306842804
37,1106,4426,1.0
38,425,11053,0.0004203697899356485
39,945,9922,0.0
40,561,33364,1.0
41,594,2217,0.026310190558433533
42,828,18570,1.0
43,420,20832,0.5795334577560425
44,162,26407,0.9972579479217528
45,177,42172,1.0
46,1225,34376,0.0
47,1028,25737,0.6808686256408691
48,641,32197,0.0
49,1518,18478,0.0
50,1301,38838,0.07943302392959595
51,1553,29391,0.04953944683074951
52,1431,6069,0.0020398534834384923
53,288,26682,0.0
54,556,27297,0.0
55,127,27543,1.0
56,1044,21111,0.041148129850625985
57,1397,6617,0.0
58,823,2312,0.005229771602898836
59,320,38070,0.0
60,157,23343,0.0
61,427,19658,0.021048884838819504
62,925,19032,0.01635589264333248
63,1370,31428,0.20351310074329376
64,87,23879,0.0
65,1538,37148,0.19258062541484836
66,1558,2668,1.0
67,752,2518,0.00010820577153936028
68,432,6677,0.016771094873547554
69,1403,28809,0.0
70,1235,7778,0.0
71,997,26999,1.0
72,1365,3116,1.0
73,606,33513,0.0
74,1390,31715,1.0
75,1531,13955,0.0
76,1237,2861,0.0
77,705,34215,0.35806605219841003
78,639,30032,0.9240891933441162
79,344,25818,0.0
80,6,8419,0.0
81,1436,9410,0.9841492772102356
82,268,25286,0.019454214721918103
83,549,30239,0.28679177165031433
84,1497,33972,0.8926802277565002
85,48,27688,0.9959794282913208
86,1219,40033,0.04045453295111656
87,60,25596,0.9923139214515686
88,1212,13429,0.0
89,867,26412,0.12199804186820985
90,387,34796,0.0
91,1070,28664,0.00033297104528173804
92,203,40296,0.0
93,313,30172,0.9908803701400756
94,1498,10071,0.00015455085667781535
95,267,12209,0.0021087103523314
96,39,28211,0.6362786889076233
97,369,29612,0.04131731390953064
98,87,8781,1.0
99,45,32140,0.0018858972471207378
100,837,33197,0.9893044233322144
101,1391,21920,0.0
102,146,12159,0.5118275284767151
103,14,6081,0.1749425083398819
104,1070,31507,8.162207814166322e-05
105,254,28809,0.0
106,1431,36752,0.0
107,516,24134,1.0
108,1469,29286,0.9999986886978148
109,1102,31758,0.0
110,355,2511,0.0
111,326,31333,1.0
112,366,34424,0.06191181391477585
113,709,31688,1.0
114,386,1104,0.2678409218788147
115,334,7665,0.0031939782202243805
116,1488,40250,0.0
117,386,28262,0.0
118,591,28739,0.0
119,1179,1,0.9986612796783448
120,1148,16124,0.6297908425331116
121,639,36076,0.06736478209495544
122,1149,18878,0.0
123,1414,43340,0.7961457967758179
124,1466,36528,0.8707176446914673
125,1071,10505,0.0
126,563,19954,1.0
127,45,39381,0.00013147748541086912
128,182,28455,0.0
129,606,24266,0.0
130,1106,16118,0.01996273547410965
131,1607,25528,1.0
132,1099,22961,0.0008907778537832199
133,407,7112,0.0
134,1125,4183,0.0
135,501,14435,1.0
136,1585,3121,0.0
137,311,28158,1.0
138,1584,41260,0.008020578883588314
139,471,23016,0.0
140,47,12993,0.9635321497917176
141,1494,23412,0.9586510658264159
142,1061,23273,0.7493088841438293
143,1125,12655,0.0001453781151212752
144,643,32126,0.0002358849160373211
145,582,9802,0.006250943522900343
146,1219,23445,0.22621966898441315
147,357,22290,1.0
148,441,39239,1.0
149,317,13457,1.0
150,427,6684,0.0
151,195,16118,0.025082249194383618
152,1535,35616,0.2459273934364319
153,281,9910,0.985054850578308
154,1454,796,1.0
155,1039,28124,0.010250164195895195
156,1622,43170,0.26643043756484985
157,254,2941,1.0
158,691,40084,0.7258134484291077
159,663,19049,0.0
160,1200,25720,0.001359155518002808
161,839,23165,0.0
162,374,26148,1.0
163,563,7915,1.0
164,211,778,0.9986149072647096
165,1032,16364,0.0
166,283,25046,0.0
167,678,38510,1.0
168,446,17035,0.007665264885872602
169,345,6026,0.1153360679745674
170,292,17126,0.0
171,1315,42101,0.0
172,1279,2988,0.4504322111606598
173,1200,12192,0.0
174,1346,27726,1.0
175,420,4536,0.02692508138716221
176,995,28347,0.22352078557014465
177,1123,13053,0.0
178,258,30076,0.9488999843597412
179,185,14567,0.9998767375946044
180,1227,34090,0.0
181,1501,19061,0.0
182,248,13390,0.0
183,1249,12592,0.0
184,1572,28102,0.717738151550293
185,1006,9510,1.0
186,635,23963,8.085689842118883e-06
187,224,2667,0.1383475512266159
188,596,3840,0.704850971698761
189,55,26035,1.0
190,165,1845,0.3717657923698425
191,219,6956,0.9638389945030212
192,31,39016,0.0
193,285,3306,0.0
194,830,27068,0.0
195,1451,36649,0.010015031322836876
196,279,2212,1.0
197,272,30891,0.0010384212946519256
198,1230,37777,0.8579310774803162
199,1370,39184,0.9692338109016418
200,1144,40819,0.7966645956039429
201,723,14154,0.023282157257199287
202,165,19592,0.0
203,1100,3280,0.0
204,1531,7483,0.0003012122178915888
205,26,31752,0.0
206,906,32483,0.16859494149684906
207,438,10227,0.0
208,1243,25633,0.0003361341659910977
209,91,42109,1.0
210,955,12599,1.0
211,1363,39087,0.0
212,223,16467,0.10185965895652772
213,1052,343,0.0
214,507,8229,0.033482231199741364
215,1587,38171,1.0
216,671,7437,1.0
217,1438,29518,0.9837505221366882
218,523,15680,0.0
219,1545,38845,0.8464558124542236
220,55,28961,0.2242312878370285
221,266,4012,1.0
222,341,11454,0.0
223,1127,30803,0.0
224,1114,8923,1.0
225,618,16739,0.0
226,1148,2177,1.0
227,114,34461,0.9917575716972352
228,1371,13725,0.0
229,124,5310,0.0
230,1038,9685,0.0
231,155,23732,1.0
232,1417,6563,0.5486335158348083
233,1616,35360,1.0
234,940,38100,0.0006766894366592169
235,389,27699,0.9999862909317015
236,1405,30382,1.0
237,1245,33852,0.10861941426992416
238,1047,33433,1.0
239,1408,42912,1.0
240,1379,20224,0.2153867483139038
241,611,3644,0.0
242,1029,9036,0.002210578415542841
243,282,20418,7.102780364220962e-05
244,1196,5904,0.0
245,1424,4184,0.015179465524852276
246,1150,22808,0.44427105784416204
247,830,37033,0.0
248,1253,38690,0.0
249,337,64,0.0
250,455,1587,0.999816358089447
251,217,19645,0.29171428084373474
252,139,30517,1.0
253,979,4351,0.034071318805217736
254,419,39485,0.0007390554528683424
255,1304,33136,0.002210580511018634
256,462,3094,0.0
257,904,8235,0.08165115118026732
258,557,3654,0.9998791217803956
259,19,4162,0.011920479126274586
260,657,4408,0.0
261,382,14495,0.0
262,197,34732,0.0
263,1259,7385,0.0
264,300,30222,0.2725185453891754
265,1341,19713,0.0102698327973485
266,206,25407,0.0
267,1104,20100,0.0
268,1410,19309,0.0
269,1256,16649,0.5901122093200684
270,268,16122,0.0
271,180,32702,0.9982263445854188
272,344,32630,0.0
273,1431,37442,0.0
274,1052,4674,0.000579267623834312
275,632,2466,0.09517155587673187
276,828,13089,0.0
277,18,32140,0.0002702013007365167
278,1250,19486,0.0
279,882,30844,0.058487508445978165
280,1185,22958,0.0020585318561643358
281,1425,31250,0.12941652536392212
282,1458,33066,1.0
283,549,8628,0.0
284,1212,4536,0.006585696246474981
285,1129,19625,0.0
286,1228,4566,0.9778692126274108
287,936,41552,0.0
288,1323,2312,1.0
289,1119,20210,0.4981110095977783
290,893,17247,0.0
291,1233,9447,0.0
292,668,20418,0.0004330059164203704
293,387,35281,0.3954827785491944
294,1371,10878,0.0
295,1592,31976,0.0
296,1185,23943,0.00010780029697343708
297,1307,36767,0.0743345394730568
298,1307,11230,0.0
299,896,38341,0.9357366561889648
300,1083,7311,1.0
